Participants,HS,FH,FE,SI,PU1,PU2,PU3,PEOU1,PEOU2,CUB,PU,PEOU
19AN,2,2,1,1,4,4,1,2,4,61.33,9,6
302M,3,3,1,2,5,4,5,5,4,98,14,9
02MY,3,1,1,3,4,4,5,4,4,91,13,8
102P,1,3,2,1,4,5,1,3,5,92,10,8
11AV,3,2,1,3,5,1,2,5,3,43,8,8
10AN,3,1,2,2,5,4,3,5,4,83,12,9
132L,3,4,2,2,3,3,1,2,4,73.67,7,6
1362,3,2,1,3,3,4,1,2,4,44.33,8,6
02TA,2,1,2,3,3,4,3,4,5,100,10,9
15SM,2,3,1,2,5,4,4,5,4,60,13,9
152O,3,1,2,3,4,3,3,2,4,64,10,6
162G,2,3,1,4,4,4,2,2,4,81,10,6
252S,3,2,2,3,3,5,3,5,5,83,11,10
09AU,3,1,2,3,5,4,3,3,5,98.33,12,8
272W,2,2,1,2,3,4,2,4,4,90.33,9,8
13KU,3,2,1,3,4,4,2,4,4,52,10,8
2.80E+02,3,3,2,3,3,3,3,4,3,87.33,9,7
19EN,3,2,2,3,4,4,4,5,4,84,12,9
152A,3,2,1,2,4,3,2,3,4,86,9,7
192Z,3,2,1,3,4,3,3,3,3,28.67,10,6
11SA,3,5,1,2,4,2,2,3,4,69,8,7
162W,2,2,1,2,4,5,2,2,4,100,11,6
272L,1,2,2,1,4,3,3,5,4,95,10,9
24SA,2,2,1,3,5,4,3,4,4,93,12,8
152G,2,2,1,3,4,3,5,5,3,84,12,8
11KD,3,1,1,2,4,3,2,3,4,73,9,7
12JA,3,2,1,4,5,5,2,5,5,84,12,10
25TI,4,1,1,4,3,3,5,5,3,41,11,8
18DA,3,1,1,3,3,3,3,3,2,67.33,9,5
15MM,3,3,1,2,4,4,3,4,4,25,11,8
09A1,3,1,1,2,4,4,2,4,4,58.09,10,8
28OM,2,3,1,3,5,5,5,5,5,95,15,10
06AS,3,2,1,2,4,4,2,4,5,4.33,10,9
27SI,3,3,1,3,4,4,4,5,3,21,12,8
22MH,3,2,1,1,4,4,1,3,4,77.33,9,7
